SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/8/8,15170309000,2703.3052,970.908,1538.9673,193.42188,0,112.641045,0,0,0,0,0,0
2020/8/9,15170309000,2709.0886,972.7242,1542.6913,193.67229,0,112.79813,0,0,0,0,0,0
2020/8/10,15170309000,2714.7354,974.43384,1546.3713,193.92365,0,112.95729,0,0,0,0,0,0
2020/8/11,15170309000,2720.2058,976.373,1549.5854,194.23865,0,115.76302,0,0,0,0,0,0.004583333
2020/8/12,15170309000,2725.8535,977.9251,1553.4695,194.4451,0,114.144165,0,0,0,0,0,0.001458333
2020/8/13,15170309000,2731.5396,979.666,1557.1885,194.67438,0,113.46385,0,0,0,0,0,0
2020/8/14,15170309000,2737.3633,981.5526,1560.8749,194.9238,0,113.606,0,0,0,0,0,0
2020/8/15,15170309000,2743.565,983.5222,1564.8629,195.17438,0,113.7874,0,0,0,0,0,0
2020/8/17,15170309000,2755.4214,987.2502,1572.5797,195.57458,0,114.10833,0,0,0,0,0,0
2020/8/18,15170309000,2761.169,989.35925,1575.9507,195.85,0,116.10261,0,0,0,0,0,0.003125
2020/8/20,15170309000,2771.6309,992.72314,1582.5225,196.37688,0,117.5475,0,0,0,0,0,0.005
2020/8/21,15170309000,2777.3328,994.5718,1586.1333,196.62053,0,117.47771,0,0,0,0,0,0.004583333
2020/8/22,15170309000,2782.7622,996.3927,1589.4723,196.89125,0,117.87448,0,0,0,0,0,0.005
2020/8/23,15170309000,2787.9944,997.8054,1593.0851,197.10187,0,115.528854,0,0,0,0,0,0.000833333
2020/8/24,15170309000,2793.5034,999.40594,1596.744,197.34302,0,115.17875,0,0,0,0,0,0
2020/8/25,15170309000,2799.4558,1001.2753,1600.5759,197.59344,0,115.36427,0,0,0,0,0,0
2020/8/26,15170309000,2805.4167,1003.0843,1604.4803,197.84386,0,115.560104,0,0,0,0,0,0
2020/8/27,15170309000,2810.932,1004.72614,1608.0997,198.09427,0,115.71864,0,0,0,0,0,0
2020/8/28,15170309000,2816.0605,1006.5048,1611.1426,198.4074,0,118.24854,0,0,0,0,0,0.003958333
2020/8/29,15170309000,2821.7864,1008.2208,1614.923,198.635,0,117.416565,0,0,0,0,0,0.002291667
2020/8/30,15170309000,2827.8318,1010.1536,1618.821,198.85239,0,116.23364,0,0,0,0,0,0
2020/8/31,15170309000,2833.1414,1011.79596,1622.2212,199.11209,0,116.38948,0,0,0,0,0,0
2020/9/1,15170309000,2838.7202,1013.65063,1625.6385,199.4222,0,119.00885,0,0,0,0,0,0.003958333
2020/9/2,15170309000,2844.6514,1015.3953,1629.5834,199.66583,0,118.36802,0,0,0,0,0,0.0025
2020/9/3,15170309000,2850.676,1017.33356,1633.4215,199.90927,0,117.827705,0,0,0,0,0,0.00125
2020/9/4,15170309000,2856.6357,1019.50385,1636.8958,200.22531,0,120.382706,0,0,0,0,0,0.005
2020/9/5,15170309000,2862.9412,1021.4599,1640.9974,200.47948,0,120.133125,0,0,0,0,0,0.004166666
2020/9/6,15170309000,2868.984,1023.45917,1644.7684,200.75302,0,120.85,0,0,0,0,0,0.005
2020/9/7,15170309000,2874.826,1025.0334,1648.8413,200.94417,0,118.05646,0,0,0,0,0,0.000208333
2020/9/8,15170309000,2880.2397,1026.6104,1652.4211,201.20148,0,118.09874,0,0,0,0,0,0
2020/9/9,15170309000,2885.6804,1028.1882,1656.0289,201.4538,0,118.27495,0,0,0,0,0,0
2020/9/10,15170309000,2891.3877,1029.9854,1659.6809,201.7125,0,118.4625,0,0,0,0,0,0
